Test-File1,Y-unit!,1
70.00,-30.00,10
71.00,-2.85,10
72.00,-22.65,10
73.00,-13.52,10
74.00,-6.49,10
75.00,-0.00,10
76.00, 2.47,10
77.00, 1.18,10
78.00,23.46,10
79.00, 8.56,10
Test-File3,Y-unit!,11
04:20PM on January 30,2018,11
12.00,-5.66,11
13.00,-14.11,11
14.00,-2.78,11
15.00,-0.00,11
16.00, 4.33,11
17.00, 2.35,11
18.00, 9.71,11
19.00,17.12,11
20.00,20.00,11
21.00,19.02,11
22.00, 4.05,11
23.00, 2.35,11
24.00, 0.93,11
25.00, 0.00,11
26.00,-2.47,11
27.00,-9.40,11
28.00,-8.09,11
29.00,-22.83,11
30.00,-12.00,11
31.00,-27.58,11
32.00,-13.75,11
33.00,-17.05,11
34.00,-8.65,11
35.00,-0.00,11
36.00, 8.03,11
37.00, 6.47,11
38.00,19.42,11
39.00,12.36,11
40.00,12.00,11
41.00,16.17,11
42.00, 4.85,11
43.00,17.63,11
44.00, 9.27,11
45.00, 0.00,11
46.00,-8.65,11
47.00,-17.63,11
48.00,-8.90,11
49.00,-22.83,11
50.00,-15.00,11
51.00,-15.22,11
52.00,-4.05,11
53.00,-5.88,11
54.00,-3.40,11
55.00, 0.00,11
56.00, 1.24,11
57.00, 1.76,11
58.00,16.99,11
59.00,12.36,11
60.00, 3.00,11
61.00, 5.71,11
62.00, 7.28,11
63.00, 5.29,11
64.00, 7.42,11
65.00, 0.00,11
66.00,-1.55,11
67.00,-17.05,11
68.00,-24.27,11
69.00,-20.92,11
70.00,-30.00,11
71.00,-2.85,11
72.00,-22.65,11
73.00,-13.52,11
74.00,-6.49,11
75.00,-0.00,11
76.00, 2.47,11
77.00, 1.18,11
78.00,23.46,11
79.00, 8.56,11
80.00,28.00,11
81.00,17.12,11
Test-File3,Y-unit!,12
04:20PM on January 30,2018,12
12.00,-5.66,12
13.00,-14.11,12
14.00,-2.78,12
15.00,-0.00,12
16.00, 4.33,12
17.00, 2.35,12
18.00, 9.71,12
19.00,17.12,12
20.00,20.00,12
21.00,19.02,12
22.00, 4.05,12
23.00, 2.35,12
24.00, 0.93,12
25.00, 0.00,12
26.00,-2.47,12
27.00,-9.40,12
28.00,-8.09,12
29.00,-22.83,12
30.00,-12.00,12
31.00,-27.58,12
32.00,-13.75,12
33.00,-17.05,12
34.00,-8.65,12
35.00,-0.00,12
36.00, 8.03,12
37.00, 6.47,12
38.00,19.42,12
39.00,12.36,12
40.00,12.00,12
41.00,16.17,12
42.00, 4.85,12
43.00,17.63,12
44.00, 9.27,12
45.00, 0.00,12
46.00,-8.65,12
47.00,-17.63,12
48.00,-8.90,12
49.00,-22.83,12
50.00,-15.00,12
51.00,-15.22,12
52.00,-4.05,12
53.00,-5.88,12
54.00,-3.40,12
55.00, 0.00,12
56.00, 1.24,12
57.00, 1.76,12
58.00,16.99,12
59.00,12.36,12
60.00, 3.00,12
61.00, 5.71,12
62.00, 7.28,12
63.00, 5.29,12
64.00, 7.42,12
65.00, 0.00,12
66.00,-1.55,12
67.00,-17.05,12
68.00,-24.27,12
69.00,-20.92,12
70.00,-30.00,12
71.00,-2.85,12
72.00,-22.65,12
73.00,-13.52,12
74.00,-6.49,12
75.00,-0.00,12
76.00, 2.47,12
77.00, 1.18,12
78.00,23.46,12
79.00, 8.56,12
80.00,28.00,12
81.00,17.12,12
Test-File2,Y-unit!,13
04:20PM on January 30,2018,13
14.00,-28.53,13
15.00,-9.00,13
16.00,-4.76,13
17.00,-17.80,13
18.00,-8.23,13
19.00,-5.25,13
20.00,-0.00,13
21.00, 2.78,13
22.00,11.76,13
23.00,15.37,13
24.00,16.17,13
25.00,26.00,13
26.00,10.46,13
27.00,17.80,13
28.00,10.58,13
29.00, 7.11,13
30.00, 0.00,13
31.00,-5.87,13
32.00,-3.53,13
33.00,-12.94,13
34.00,-10.46,13
35.00,-5.00,13
36.00,-4.76,13
37.00,-16.18,13
38.00,-13.52,13
39.00,-3.71,13
40.00,-0.00,13
41.00, 1.24,13
42.00, 1.76,13
43.00, 4.85,13
44.00,10.46,13
45.00,11.00,13
46.00,10.46,13
47.00,12.14,13
48.00, 2.94,13
49.00, 0.62,13
50.00, 0.00,13
51.00,-0.93,13
52.00,-14.11,13
53.00,-21.84,13
54.00,-5.71,13
55.00,-6.00,13
56.00,-18.07,13
57.00,-10.52,13
58.00,-14.69,13
59.00,-5.87,13
60.00,-0.00,13
61.00, 7.42,13
62.00,16.46,13
63.00,16.99,13
64.00, 7.61,13
65.00,24.00,13
66.00,24.73,13
67.00, 1.62,13
68.00, 4.70,13
69.00, 4.94,13
70.00, 0.00,13
71.00,-8.34,13
72.00,-4.70,13
73.00,-7.28,13
74.00,-26.63,13
75.00,-27.00,13
76.00,-11.41,13
77.00,-5.66,13
78.00,-4.70,13
79.00,-2.47,13
80.00,-0.00,13
81.00, 6.18,13
82.00,14.11,13
83.00, 1.62,13
Test-File3,Y-unit!,14
04:20PM on January 30,2018,14
14.00,-2.78,14
15.00,-0.00,14
16.00, 4.33,14
17.00, 2.35,14
18.00, 9.71,14
19.00,17.12,14
20.00,20.00,14
21.00,19.02,14
22.00, 4.05,14
23.00, 2.35,14
24.00, 0.93,14
25.00, 0.00,14
26.00,-2.47,14
27.00,-9.40,14
28.00,-8.09,14
29.00,-22.83,14
30.00,-12.00,14
31.00,-27.58,14
32.00,-13.75,14
33.00,-17.05,14
34.00,-8.65,14
35.00,-0.00,14
36.00, 8.03,14
37.00, 6.47,14
38.00,19.42,14
39.00,12.36,14
40.00,12.00,14
41.00,16.17,14
42.00, 4.85,14
43.00,17.63,14
44.00, 9.27,14
45.00, 0.00,14
46.00,-8.65,14
47.00,-17.63,14
48.00,-8.90,14
49.00,-22.83,14
50.00,-15.00,14
51.00,-15.22,14
52.00,-4.05,14
53.00,-5.88,14
54.00,-3.40,14
55.00, 0.00,14
56.00, 1.24,14
57.00, 1.76,14
58.00,16.99,14
59.00,12.36,14
60.00, 3.00,14
61.00, 5.71,14
62.00, 7.28,14
63.00, 5.29,14
64.00, 7.42,14
65.00, 0.00,14
66.00,-1.55,14
67.00,-17.05,14
68.00,-24.27,14
69.00,-20.92,14
70.00,-30.00,14
71.00,-2.85,14
72.00,-22.65,14
73.00,-13.52,14
74.00,-6.49,14
75.00,-0.00,14
76.00, 2.47,14
77.00, 1.18,14
78.00,23.46,14
79.00, 8.56,14
80.00,28.00,14
81.00,17.12,14
82.00,15.37,14
83.00, 6.47,14
Test-File4,Y-unit!,15
04:20PM on January 30,2018,15
14.00, 8.82,15
15.00, 0.00,15
16.00,-12.93,15
17.00,-5.71,15
18.00,-18.07,15
19.00,-8.82,15
20.00,-0.00,15
21.00,17.63,15
22.00,11.41,15
23.00,14.27,15
24.00, 2.94,15
25.00, 0.00,15
26.00,-8.23,15
27.00,-15.22,15
28.00,-2.85,15
29.00,-5.88,15
30.00,-0.00,15
31.00, 5.29,15
32.00, 1.90,15
33.00,25.68,15
34.00,13.52,15
35.00, 0.00,15
36.00,-12.93,15
37.00,-15.22,15
38.00,-19.02,15
39.00,-9.40,15
40.00,-0.00,15
41.00, 1.18,15
42.00,19.02,15
43.00,22.83,15
44.00,17.05,15
45.00, 0.00,15
46.00,-10.58,15
47.00,-7.61,15
48.00,-28.53,15
49.00,-4.11,15
50.00,-0.00,15
51.00, 9.99,15
52.00,20.92,15
53.00,22.83,15
54.00,14.11,15
55.00,-0.00,15
56.00,-16.46,15
57.00,-1.90,15
58.00,-10.46,15
59.00,-6.47,15
60.00,-0.00,15
61.00,15.28,15
62.00,15.22,15
63.00, 6.66,15
64.00, 3.53,15
65.00, 0.00,15
66.00,-15.87,15
67.00,-28.53,15
68.00,-26.63,15
69.00,-2.35,15
70.00,-0.00,15
71.00,12.34,15
72.00,28.53,15
73.00,23.78,15
74.00, 7.05,15
75.00, 0.00,15
76.00,-11.17,15
77.00,-28.53,15
78.00,-5.71,15
79.00,-17.05,15
80.00,-0.00,15
81.00,11.17,15
82.00, 9.51,15
83.00,22.83,15
